name,milnovecientos,dosmilveinte,percentage,province,densidad
Cimballa,512,94,81.64,Zaragoza,78.76
Cinco Olivas,570,102,82.10,Zaragoza,31.95
Clarés de Ribota,444,67,84.90,Zaragoza,2.25
Codo,1026,199,80.60,Zaragoza,18
Codos,1122,248,77.89,Zaragoza,11.36
Contamina,169,32,81.06,Zaragoza,62.69
Cosuenda,1304,337,74.15,Zaragoza,14.02
Cuarte de Huerva,275,13450,-4790.90,Zaragoza,31.68
Cubel,505,155,69.30,Zaragoza,8.95
Daroca,3493,1965,43.74,Zaragoza,58.62
Ejea de los Caballeros,5271,16984,-222.21,Zaragoza,32.58
El Burgo de Ebro,903,2486,-175.30,Zaragoza,38.98
El Buste,428,71,83.41,Zaragoza,15.97
El Frago,561,97,82.70,Zaragoza,52.05
El Frasno,1551,379,75.56,Zaragoza,609.92
Embid de Ariza,498,35,92.97,Zaragoza,41.26
Encinacorba,1020,178,82.54,Zaragoza,36.74
Epila,3713,4372,-17.74,Zaragoza,194.32
Erla,911,341,62.56,Zaragoza,18.96
Escatrón,2374,1067,55.05,Zaragoza,94.64
Fabara,2089,1109,46.91,Zaragoza,101.63
Farlete,524,366,30.15,Zaragoza,104.12
Fayón,1306,380,70.90,Zaragoza,67.19
Figueruelas,367,1262,-243.86,Zaragoza,3.88
Fombuena,226,60,73.45,Zaragoza,16.99
Fréscano,505,199,60.59,Zaragoza,26.37
Fuendejalón,1354,784,42.09,Zaragoza,33.76
Fuendetodos,540,145,73.14,Zaragoza,48.64
Fuentes de Ebro,2498,4549,-82.10,Zaragoza,18.41
Fuentes de Jiloca,1099,229,79.16,Zaragoza,75.83
Gallocanta,363,136,62.53,Zaragoza,62
Gallur,2847,2566,9.87,Zaragoza,141.73
Gelsa,2096,996,52.48,Zaragoza,27.35
Godojos,432,53,87.73,Zaragoza,29.71
Gotor,874,302,65.44,Zaragoza,41.71
Grisel,497,74,85.11,Zaragoza,72.04
Grisén,360,590,-63.88,Zaragoza,16.77
